iter	Passed	Remaining
0	142	14135
1	144	7095
2	146	4732
3	147	3548
4	149	2839
5	150	2360
6	152	2025
7	154	1773
8	156	1578
9	157	1416
10	159	1287
11	160	1178
12	162	1086
13	164	1008
14	165	939
15	166	873
16	167	819
17	168	769
18	170	727
19	172	689
20	173	654
21	175	622
22	177	592
23	178	565
24	180	540
25	182	518
26	183	496
27	185	476
28	187	458
29	188	440
30	190	424
31	192	408
32	193	393
33	195	379
34	197	366
35	198	353
36	200	341
37	202	329
38	203	318
39	205	308
40	207	297
41	208	287
42	209	277
43	210	268
44	212	259
45	214	251
46	215	243
47	217	235
48	219	228
49	221	221
50	222	213
51	224	207
52	225	199
53	226	193
54	228	186
55	230	180
56	231	174
57	232	168
58	234	162
59	235	157
60	237	151
61	239	146
62	240	141
63	242	136
64	244	131
65	246	126
66	247	122
67	249	117
68	251	112
69	252	108
70	254	103
71	255	99
72	257	95
73	259	91
74	260	86
75	262	82
76	264	78
77	265	74
78	267	71
79	269	67
80	270	63
81	272	59
82	274	56
83	275	52
84	277	48
85	278	45
86	280	41
87	282	38
88	284	35
89	285	31
90	287	28
91	288	25
92	290	21
93	291	18
94	293	15
95	295	12
96	296	9
97	298	6
98	300	3
99	301	0
