iter	Passed	Remaining
0	134	134029
1	137	68682
2	141	46903
3	145	36133
4	149	29680
5	152	25291
6	156	22150
7	160	19859
8	164	18064
9	168	16638
10	172	15517
11	177	14605
12	182	13878
13	186	13140
14	190	12500
15	195	12006
16	198	11492
17	203	11079
18	207	10717
19	212	10434
20	217	10126
21	220	9818
22	225	9580
23	229	9337
24	233	9104
25	236	8872
26	240	8673
27	243	8469
28	247	8276
29	250	8101
30	253	7937
31	257	7784
32	260	7643
33	264	7506
34	267	7374
35	271	7260
36	275	7160
37	279	7074
38	283	6989
39	288	6918
40	293	6868
41	297	6776
42	300	6692
43	304	6615
44	307	6534
45	311	6460
46	315	6400
47	320	6351
48	325	6322
49	330	6273
50	333	6212
51	338	6175
52	342	6120
53	346	6067
54	350	6015
55	354	5969
56	357	5919
57	362	5892
58	366	5846
59	370	5807
60	374	5762
61	379	5734
62	382	5692
63	387	5663
64	390	5623
65	394	5581
66	398	5543
67	401	5504
68	404	5464
69	408	5425
70	412	5403
71	417	5385
72	422	5370
73	427	5347
74	431	5318
75	436	5302
76	439	5267
77	443	5236
78	446	5208
79	450	5185
80	455	5167
81	459	5148
82	463	5124
83	468	5110
84	472	5084
85	476	5059
86	479	5033
87	484	5018
88	488	5003
89	492	4984
90	496	4957
91	501	4946
92	504	4923
93	508	4899
94	512	4881
95	516	4863
96	521	4855
97	525	4840
98	531	4835
99	535	4821
100	539	4800
101	543	4781
102	547	4769
103	551	4753
104	555	4738
105	560	4727
106	565	4721
107	569	4707
108	573	4686
109	577	4671
110	581	4661
111	585	4642
112	589	4623
113	592	4606
114	596	4592
115	600	4577
116	604	4559
117	607	4543
118	611	4529
119	615	4510
120	618	4493
121	621	4475
122	625	4461
123	629	4445
124	632	4427
125	636	4415
126	640	4404
127	644	4393
128	648	4378
129	652	4368
130	657	4359
131	660	4344
132	665	4337
133	669	4328
134	674	4323
135	678	4311
136	682	4299
137	685	4283
138	690	4275
139	694	4265
140	698	4254
141	701	4241
142	706	4236
143	711	4228
144	715	4216
145	718	4203
146	723	4197
147	727	4187
148	730	4174
149	734	4162
150	740	4163
151	744	4154
152	748	4144
153	753	4141
154	758	4135
155	762	4122
156	765	4110
157	770	4105
158	774	4095
159	778	4085
160	781	4074
161	786	4066
162	790	4056
163	793	4044
164	796	4032
165	802	4032
166	808	4031
167	811	4020
168	816	4016
169	822	4015
170	826	4005
171	829	3995
172	834	3988
173	838	3982
174	842	3972
175	845	3960
176	850	3953
177	853	3943
178	857	3932
179	860	3921
180	864	3911
181	868	3902
182	871	3892
183	875	3881
184	878	3870
185	882	3862
186	886	3853
187	890	3844
188	893	3835
189	898	3828
190	901	3819
191	905	3811
192	910	3805
193	914	3800
194	919	3795
195	923	3790
196	927	3781
197	932	3776
198	935	3767
199	940	3761
200	945	3760
201	950	3756
202	954	3749
203	958	3740
204	962	3733
205	966	3725
206	970	3715
207	974	3711
208	979	3708
209	984	3705
210	988	3696
211	992	3687
212	996	3682
213	1000	3673
214	1003	3664
215	1008	3660
216	1012	3654
217	1018	3652
218	1022	3645
219	1026	3640
220	1030	3634
221	1034	3625
222	1039	3621
223	1044	3616
224	1048	3609
225	1051	3601
226	1055	3593
227	1059	3588
228	1063	3580
229	1066	3571
230	1070	3562
231	1074	3558
232	1079	3553
233	1082	3544
234	1086	3536
235	1091	3532
236	1094	3524
237	1098	3516
238	1101	3507
239	1105	3501
240	1109	3493
241	1112	3484
242	1115	3476
243	1119	3469
244	1123	3463
245	1127	3456
246	1131	3448
247	1134	3439
248	1138	3434
249	1142	3426
250	1146	3419
251	1149	3412
252	1153	3406
253	1157	3398
254	1160	3391
255	1164	3384
256	1168	3378
257	1172	3372
258	1176	3365
259	1179	3357
260	1183	3350
261	1187	3345
262	1191	3338
263	1194	3331
264	1198	3323
265	1202	3317
266	1206	3310
267	1210	3305
268	1214	3300
269	1219	3297
270	1223	3291
271	1226	3283
272	1231	3279
273	1236	3276
274	1240	3269
275	1244	3263
276	1247	3256
277	1251	3250
278	1255	3244
279	1259	3237
280	1262	3230
281	1266	3225
282	1270	3218
283	1274	3212
284	1277	3205
285	1281	3199
286	1285	3192
287	1289	3186
288	1293	3183
289	1299	3180
290	1303	3175
291	1306	3168
292	1310	3162
293	1315	3160
294	1319	3154
295	1323	3148
296	1327	3142
297	1331	3136
298	1335	3130
299	1338	3124
300	1342	3117
301	1346	3111
302	1350	3105
303	1353	3099
304	1357	3092
305	1362	3090
306	1367	3086
307	1370	3080
308	1374	3073
309	1379	3070
310	1383	3064
311	1386	3058
312	1390	3052
313	1395	3049
314	1399	3043
315	1402	3036
316	1406	3029
317	1411	3027
318	1416	3024
